"filename", "language", "C#", "comment", "blank", "total"
"d:\Unity_Project\Sweet_Dream\Assets\Script\Monster\Boss\ShootingAiming.cs", "C#", 31, 3, 8, 42
"d:\Unity_Project\Sweet_Dream\Assets\Script\Monster\Bugs\Bug.cs", "C#", 75, 6, 16, 97
"d:\Unity_Project\Sweet_Dream\Assets\Script\Monster\EnemyHealth.cs", "C#", 26, 1, 7, 34
"d:\Unity_Project\Sweet_Dream\Assets\Script\Monster\Monster.cs", "C#", 96, 2, 14, 112
"d:\Unity_Project\Sweet_Dream\Assets\Script\Monster\MonsterFixedPointNev.cs", "C#", 57, 6, 7, 70
"d:\Unity_Project\Sweet_Dream\Assets\Script\Monster\MonsterNavMesh.cs", "C#", 13, 49, 4, 66
"d:\Unity_Project\Sweet_Dream\Assets\Script\Monster\monsterRun.cs", "C#", 39, 8, 10, 57
"d:\Unity_Project\Sweet_Dream\Assets\Script\Platforms\BubbleMove.cs", "C#", 66, 2, 12, 80
"d:\Unity_Project\Sweet_Dream\Assets\Script\Platforms\DownPlatform.cs", "C#", 63, 6, 13, 82
"d:\Unity_Project\Sweet_Dream\Assets\Script\Platforms\Elevator.cs", "C#", 48, 2, 7, 57
"d:\Unity_Project\Sweet_Dream\Assets\Script\Platforms\IntervalsAppearingPlatform.cs", "C#", 29, 2, 9, 40
"d:\Unity_Project\Sweet_Dream\Assets\Script\Platforms\Ladder.cs", "C#", 20, 0, 6, 26
"d:\Unity_Project\Sweet_Dream\Assets\Script\Platforms\LeftRightElevator.cs", "C#", 41, 2, 11, 54
"d:\Unity_Project\Sweet_Dream\Assets\Script\Platforms\MoveAnyAngle.cs", "C#", 34, 4, 7, 45
"d:\Unity_Project\Sweet_Dream\Assets\Script\Platforms\MovePlatform.cs", "C#", 55, 8, 8, 71
"d:\Unity_Project\Sweet_Dream\Assets\Script\Platforms\PlatformManager.cs", "C#", 29, 4, 5, 38
"d:\Unity_Project\Sweet_Dream\Assets\Script\Platforms\Spikes.cs", "C#", 19, 2, 6, 27
"d:\Unity_Project\Sweet_Dream\Assets\Script\Platforms\VerticalPlatform.cs", "C#", 23, 14, 6, 43
"d:\Unity_Project\Sweet_Dream\Assets\Script\Platforms\ground.cs", "C#", 20, 2, 6, 28
"d:\Unity_Project\Sweet_Dream\Assets\Script\Player\Bullet.cs", "C#", 37, 1, 4, 42
"d:\Unity_Project\Sweet_Dream\Assets\Script\Player\DetectionZone.cs", "C#", 38, 2, 8, 48
"d:\Unity_Project\Sweet_Dream\Assets\Script\Player\GroundDistanceCheck.cs", "C#", 34, 3, 6, 43
"d:\Unity_Project\Sweet_Dream\Assets\Script\Player\MagicPower.cs", "C#", 33, 9, 7, 49
"d:\Unity_Project\Sweet_Dream\Assets\Script\Player\PersistOnSceneLoad.cs", "C#", 19, 0, 3, 22
"d:\Unity_Project\Sweet_Dream\Assets\Script\Player\PlayEffect.cs", "C#", 18, 1, 6, 25
"d:\Unity_Project\Sweet_Dream\Assets\Script\Player\PlayerAttack.cs", "C#", 72, 9, 11, 92
"d:\Unity_Project\Sweet_Dream\Assets\Script\Player\PlayerFly.cs", "C#", 6, 0, 2, 8
"d:\Unity_Project\Sweet_Dream\Assets\Script\Player\PlayerHPHealth.cs", "C#", 40, 2, 6, 48
"d:\Unity_Project\Sweet_Dream\Assets\Script\Player\PlayerHealth.cs", "C#", 93, 21, 13, 127
"d:\Unity_Project\Sweet_Dream\Assets\Script\Player\PlayerHit.cs", "C#", 33, 3, 11, 47
"d:\Unity_Project\Sweet_Dream\Assets\Script\Player\PlayerMovement.cs", "C#", 325, 27, 44, 396
"d:\Unity_Project\Sweet_Dream\Assets\Script\Player\PlayerPosition.cs", "C#", 22, 2, 8, 32
"d:\Unity_Project\Sweet_Dream\Assets\Script\Player\PlayerShoot.cs", "C#", 69, 4, 13, 86
"d:\Unity_Project\Sweet_Dream\Assets\Script\Player\TimeStop.cs", "C#", 46, 2, 7, 55
"d:\Unity_Project\Sweet_Dream\Assets\Script\PurpleLevel\Dart.cs", "C#", 38, 2, 8, 48
"d:\Unity_Project\Sweet_Dream\Assets\Script\PurpleLevel\PurpleBullet.cs", "C#", 20, 0, 7, 27
"d:\Unity_Project\Sweet_Dream\Assets\Script\PurpleLevel\PurplePlayerShoot.cs", "C#", 37, 3, 9, 49
"d:\Unity_Project\Sweet_Dream\Assets\Script\SaveSystem\SaveGameData.cs", "C#", 75, 0, 23, 98
"d:\Unity_Project\Sweet_Dream\Assets\Script\SaveSystem\SaveManager.cs", "C#", 71, 0, 15, 86
"d:\Unity_Project\Sweet_Dream\Assets\Script\UI\ButtonSelect.cs", "C#", 25, 1, 3, 29
"d:\Unity_Project\Sweet_Dream\Assets\Script\UI\Fade.cs", "C#", 55, 3, 8, 66
"d:\Unity_Project\Sweet_Dream\Assets\Script\UI\HealthBar.cs", "C#", 21, 0, 4, 25
"d:\Unity_Project\Sweet_Dream\Assets\Script\UI\HoverEffect.cs", "C#", 36, 1, 10, 47
"d:\Unity_Project\Sweet_Dream\Assets\Script\UI\MagicBar.cs", "C#", 21, 0, 2, 23
"d:\Unity_Project\Sweet_Dream\Assets\Script\UI\MusicMenu.cs", "C#", 46, 0, 10, 56
"d:\Unity_Project\Sweet_Dream\Assets\Script\UI\StartSceneManager.cs", "C#", 83, 4, 23, 110
"d:\Unity_Project\Sweet_Dream\Assets\Script\UI\UIManager.cs", "C#", 115, 12, 23, 150
"Total", "-", 4688, 472, 1001, 6161
